Firmenname;#Angestellte;Umsatz;#Bestellungen in Kategorie 1;#Bestellungen in Kategorie 2;#Bestellungen in Kategorie 3;#Bestellungen in Kategorie 4;#Bestellungen in Kategorie 5;#Bestellungen in Kategorie 6;Hauptfarbe im Logo
CloudNova Networks;118;393006€;3;13;5;29;14;26;144,149,30
CoreMatic;10;571852€;2;1;4;44;4;;175,178,2
PulseVibe Industries;76;188567€;6;11;11;32;26;21;34,184,121
DataStream Alliance;140;323612€;8;20;10;69;26;41;62,183,11
Zenovate Systems;103;712809€;5;13;8;41;18;26;140,169,27
StellarGrid;70;200101€;7;11;13;33;26;22;231,47,54
SkyNova Enterprises;26;605600€;2;4;2;50;5;8;40,157,17
VividCore Industries;12;578219€;2;3;2;43;5;6;33,20,141
StarNova Industries;93;329251€;6;12;10;64;22;24;106,223,168
CloudEdge Consulting;77;164869€;4;11;12;33;25;22;183,20,234
FusionPoint Consulting;137;227239€;8;;10;68;27;38;212,78,181
NuVenture Labs;89;202505€;6;10;13;22;26;19;227,83,197
SoftForge Solutions;138;240656€;8;19;12;68;26;38;188,37,139
AltoNova;55;545479€;4;19;7;72;20;39;70,104,106
SoluMax Enterprises;128;513400€;3;13;5;60;19;27;233,226,46
HelixDynamics;68;325533€;4;11;13;30;25;22;183,247,241
Nexalyn;138;240656€;8;19;12;68;26;38;188,37,139
PureEdge Co.;69;193718€;5;10;12;39;25;20;1,104,17
Tranzilla Solutions;23;584222€;2;;4;44;4;4;137,10,78
VelocityHub;27;611491€;2;4;1;38;4;9;224,37,141
OmniCraft Inc.;52;553811€;6;19;5;71;25;39;221,163,69
QuantumReach;137;262326€;8;22;11;68;27;45;38,78,174
PeakMind Labs;140;223628€;8;21;11;67;27;43;52,31,250
AquaSync Systems;48;582655€;6;19;7;65;23;39;135,250,255
Seraphon Tech;50;590884€;6;20;7;54;2000;39;88,223,165
AquaZen Solutions;138;240656€;8;19;12;68;26;38;188,37,139
ZenithCore;69;193718€;5;10;12;39;25;20;1,104,17
BrioVerde;47;638322€;5;19;7;69;22;38;63,33,240
SkyForm Technologies;135;264749€;8;20;11;68;27;;253,255,13
FocusEdge Solutions;140;222520€;8;22;11;68;26;43;144,147,251
NexusEdge Corp.;98;308253€;4;9;11;31;27;17;97,167,41
NimbusSphere;143;281046€;8;22;10;66;26;44;235,1,74
Proxima Partners;104;578430€;1;12;6;63;13;24;168,13,244
DreamForge Technologies;15;600472€;2;0;1;37;5;1;143,29,169
Vortex Dynamics;73;292577€;7;11;12;34;25;23;148,196,221
SkyBridge Labs;69;193718€;5;10;12;39;25;20;1,104,17
NovaMotive;138;302117€;8;22;13;67;27;45;27,188,24
DreamScape Innovations;62;613110€;7;19;6;65;18;38;177,34,104
AeroByte Networks;50;573581€;6;19;6;65;18;38;245,82,254
EvoCraft Labs;138;240656€;8;19;12;68;26;38;188,37,139
SmartCrest Technologies;137;435222€;8;18;11;65;26;36;180,47,96
NebulaLink;99;189738€;8;10;12;30;25;20;163,231,131
Luxenite GmbH;42;555524€;6;19;6;60;29;38;103,250,15
ArtiVate Solutions;54;558860€;4;11;18;90;28;22;30,25,16
EnerGlow Systems;16;597759€;2;2;1;42;4;4;249,243,81
ClearPath Robotics;56;532599€;5;19;6;76;24;38;12,43,186
TrueCore Partners;69;193718€;5;10;12;39;25;20;1,104,17
SkyForge Solutions;81;507191€;3;17;6;76;23;34;117,255,128
BrightArc Labs;136;326697€;8;21;12;66;27;41;248,249,187
BlueWave Industries;55;257078€;5;18;11;73;21;35;220,250,171
LuxCore Global;135;275326€;8;23;12;67;26;46;162,218,195
StreamLine Innovations;74;269977€;7;11;12;24;26;22;198,218,225
ApexVibe;135;256063€;8;20;11;68;26;41;70,88,62
NevaCore;138;240656€;8;19;12;68;26;38;188,37,139
VisionEdge Industries;51;510559€;6;19;7;62;22;39;123,150,7
EcoVentura;76;426230€;7;;13;60;24;20;165,68,228
NeoSphere;138;204030€;8;20;12;68;26;39;31,160,171
FlexEdge Partners;30;577709€;2;5;2;51;4;10;214,76,183
EcoMorph Labs;57;448175€;5;19;7;62;19;38;39,104,44
EcoNova Corp.;62;613110€;7;19;6;65;18;38;177,34,104
AlphaMatrix;138;240656€;8;19;12;68;26;38;188,37,139
VitaWave Ventures;141;305095€;8;23;11;68;26;46;247,9,124
QuantumLeaf;88;521731€;8;16;10;36;23;;29,105,17
OpalEdge Consulting;62;155172€;3;9;13;31;25;18;90,88,191
NovaTech Solutions;120;688361€;4;12;13;49;18;23;107,166,249
MetaCore Technologies;118;637200€;5;15;9;54;25;29;174,109,74
SparkLeap Ventures;46;552692€;5;20;6;55;24;39;125,28,157
TerraLux Co.;75;155176€;4;12;12;28;25;25;175,214,203
VitaFlex GmbH;82;508531€;6;17;9;;21;34;18,98,213
BioMotive Labs;79;487414€;4;13;4;70;24;26;185,98,181
SwiftShift Solutions;46;431145€;5;19;6;61;14;38;158,154,21
HelioCore GmbH;98;582759€;5;11;13;33;26;21;172,15,155
Pyxis Dynamics;73;368610€;5;18;9;38;23;36;193,119,10
LightForge Creations;120;542224€;7;13;9;65;26;25;52,164,14
ApexGen Consulting;70;699323€;7;12;9;71;19;24;57,178,202
MatrixWave GmbH;99;308778€;7;9;12;28;25;18;172,12,190
NexusLeap;62;613110€;7;19;6;65;18;38;177,34,104
NovaVibe Solutions;69;193718€;5;10;12;39;25;20;1,104,17
LuminaLux Inc.;73;346574€;5;11;12;30;25;22;118,236,171
CrestPoint Technologies;135;582749€;4;7;9;48;15;15;64,103,14
SynthTech Co.;49;547454€;5;19;7;68;25;38;72,139,24
InfiniteHive;4;596725€;2;2;1;45;4;5;49,139,190
ZenithOne;134;330165€;8;21;10;70;26;41;146,129,205
EvolveX Systems;58;498383€;4;19;8;70;15;38;34,128,100
PrismHub Technologies;49;597524€;6;19;7;63;18;38;203,97,187
BrightNest Technologies;69;193718€;5;10;12;39;25;20;1,104,17
ZenithWorks;47;566471€;5;19;7;68;21;38;41,249,254
QuantumNova;7;583131€;2;6;4;50;4;12;124,137,7
Prismatic Solutions;22;608858€;2;3;2;48;4;7;190,204,208
DataNova Corp.;67;161765€;8;9;12;29;25;17;179,112,229
EverCore Partners;50;556428€;7;19;8;72;17;;24,144,172
OmniNova Inc.;141;317451€;8;;10;68;27;40;61,192,91
MetaPulse Solutions;53;581750€;5;19;6;64;24;38;137,57,251
OmniLeaf Inc.;3;574907€;2;5;4;43;4;11;122,228,207
EchoForge Solutions;135;285847€;8;19;10;67;26;39;138,61,22
ClearVentures;138;221261€;8;21;10;67;27;42;66,23,248
VitalEdge Solutions;51;444624€;7;19;7;56;25;38;181,207,188
QuantumPeak;55;567576€;5;;8;75;26;40;175,165,225
CoreSpark Ventures;74;144625€;5;11;12;27;25;22;166,201,211
BrightShift Innovations;137;285776€;8;20;10;68;26;40;206,120,190
